,Id,Price,Year_model,Mileage,Make
1182018,1198702,34991,2014,51275,Toyota
814662,820029,17900,2017,32344,Hyundai
736972,742339,38900,2014,35349,GMC
963463,968831,22900,2017,4622,Mazda
167967,167968,33400,2017,30,BMW
1123388,1138517,17000,2014,16667,Toyota
829517,834884,7488,2007,85654,Hyundai
416931,422298,16988,2015,16502,Buick
1085577,1099123,44990,2016,26348,Ram
500164,505531,17495,2012,75603,Chevrolet
796790,802157,11495,2014,31523,Hyundai
1204782,1221570,20900,2014,25636,Volkswagen
718230,723597,16095,2012,110959,GMC
1180402,1197063,29000,2013,35309,Toyota
272869,272870,12843,2013,67128,Nissan
25649,25650,39986,2017,20,Ford
146188,146189,14793,2014,29387,Buick
1039342,1044710,19998,2016,17404,Nissan
623249,628616,10988,2012,71106,Ford
1180400,1197061,35877,2015,26114,Toyota
728583,733950,24891,2013,152643,GMC
757219,762586,15490,2014,30074,Honda
732784,738151,44980,2015,16663,GMC
695215,700582,16995,2013,117041,Ford
560427,565794,11400,2016,32564,Dodge
1190707,1207495,8500,2012,70624,Volkswagen
493288,498655,8995,2009,89125,Chevrolet
464447,469814,19533,2014,29936,Chevrolet
888616,893983,11988,2016,25919,Kia
886023,891390,47952,2015,26115,Jeep
549240,554607,13963,2011,96670,Chrysler
853762,859129,15999,2016,33067,Jeep
542244,547611,10594,2013,53434,Chrysler
1122186,1137315,14500,2014,31101,Toyota
566827,572194,11880,2013,65617,Dodge
387929,393296,4000,2008,152815,Hyundai
1209394,1226186,3932,2001,192178,Volkswagen
137978,137979,28495,2012,83100,Cadillac
343800,349029,32990,2015,24251,Toyota
27802,27803,26997,2014,44963,Ford
1140797,1155927,20676,2014,23414,Toyota
898890,904257,18500,2017,33394,Kia
854460,859827,15786,2016,47192,Jeep
37866,37867,23999,2016,9261,Ford
137640,137641,13874,2015,22812,Chevrolet
775381,780748,26453,2016,10138,Honda
999112,1004480,14750,2015,29956,Mitsubishi
1147573,1162780,4995,2004,140256,Toyota
958038,963406,18995,2015,43342,Mazda
15261,15262,25500,2014,85286,GMC
93032,93033,38988,2016,50258,Chevrolet
912573,917940,20495,2016,11,Kia
823440,828807,13930,2015,43926,Hyundai
613090,618457,6995,2014,86832,Ford
1123856,1138985,18911,2017,11503,Toyota
913410,918777,13987,2015,40448,Kia
198504,198505,12999,2012,100957,Audi
151318,151319,40895,2014,40802,BMW
195623,195624,36455,2015,38372,Audi
338516,343493,31510,2017,7010,Toyota
522702,528069,29999,2008,93492,Chevrolet
1065246,1070614,30973,2016,7921,Nissan
1203327,1220115,5995,2007,128656,Volkswagen
192029,192030,9988,2009,109432,BMW
243007,243008,16995,2013,68561,Lincoln
251789,251790,8995,2008,110484,Mercedes-Benz
1029898,1035266,6900,2009,138074,Nissan
1175939,1192551,23000,2015,30562,Toyota
661929,667296,5703,2003,187276,Ford
142115,142116,7625,2005,78909,Cadillac
439534,444901,16400,2017,35186,Chevrolet
59504,59505,9325,2010,112015,Ford
663468,668835,17500,2015,70438,Ford
515095,520462,35495,2015,15097,Chevrolet
827806,833173,15995,2013,28174,Hyundai
808796,814163,9788,2016,38491,Hyundai
706961,712328,43455,2013,29707,Ford
883961,889328,23995,2012,41191,Jeep
210362,210363,22989,2013,57361,Jeep
42939,42940,12982,2006,106853,Ford
957777,963145,14499,2014,63793,Mazda
756164,761531,18495,2015,33461,Honda
252441,252442,11997,2006,58568,Mercedes-Benz
246507,246508,10695,2013,68993,Mazda
1137157,1152286,10350,2013,88050,Toyota
1132008,1147137,17793,2015,57621,Toyota
800256,805623,12037,2014,67057,Hyundai
655105,660472,26495,2015,22244,Ford
705277,710644,35990,2014,54143,Ford
1025724,1031092,5995,2008,118830,Nissan
262488,262489,9300,2010,65573,MINI
789546,794913,14977,2008,67003,Honda
23149,23150,32995,2011,59272,Ford
761960,767327,15648,2013,43436,Honda
880514,885881,28993,2013,39869,Jeep
695032,700399,17995,2013,92725,Ford
329223,333277,18990,2015,22664,Toyota
604018,609385,16754,2016,39350,Ford
120810,120811,9139,2015,30778,Chevrolet
608773,614140,15999,2015,34516,Ford
62308,62309,13990,2013,50365,Ford
832371,837738,13999,2010,86174,INFINITI
284138,284139,16992,2016,10574,Nissan
694432,699799,39169,2014,33061,Ford
619818,625185,14500,2014,64164,Ford
128795,128796,14988,2014,32476,Chevrolet
217875,217876,11761,2016,6930,Kia
845524,850891,13495,2016,46202,Jeep
127623,127624,16700,2015,30631,Chevrolet
347415,352743,23500,2010,41662,Toyota
509296,514663,17599,2008,83820,Chevrolet
267392,267393,14690,2015,25632,Nissan
240173,240174,44550,2016,16767,Lexus
468082,473449,15772,2014,96823,Chevrolet
841002,846369,26995,2013,124923,INFINITI
292056,292057,22991,2012,37035,Nissan
562469,567836,14595,2013,84989,Dodge
25844,25845,27495,2013,66988,Ford
664251,669618,25995,2013,37841,Ford
837075,842442,12995,2011,122400,INFINITI
1136270,1151399,8495,2007,137626,Toyota
199160,199161,31991,2015,60215,Acura
1112486,1127615,16000,2017,16526,Toyota
1018044,1023412,3700,2004,93260,Nissan
397228,402595,19850,2014,56076,INFINITI
197850,197851,21690,2016,49817,Audi
40877,40878,22495,2012,52696,Ford
552798,558165,21875,2016,25180,Chrysler
528918,534285,43292,2016,33241,Chevrolet
1015123,1020491,16970,2017,4181,Nissan
32595,32596,23990,2012,70487,Ford
992262,997630,8500,2008,75251,Mercury
1147656,1162867,23146,2014,23808,Toyota
74621,74622,14990,2011,80034,Dodge
324942,328992,23991,2017,4755,Toyota
944028,949396,29698,2017,15636,Lincoln
777979,783346,5550,2005,106429,Honda
582764,588131,14988,2012,105815,Dodge
315125,319175,15995,2012,29154,Toyota
405461,410828,10999,2014,65089,Jeep
492364,497731,25990,2015,35895,Chevrolet
1108004,1123133,31995,2015,22186,Subaru
1035666,1041034,17991,2015,39562,Nissan
414454,419821,17985,2015,8371,Buick
207503,207504,18333,2012,64848,Jeep
265895,265896,11985,2013,12973,Nissan
1115761,1130890,17991,2017,10495,Toyota
933388,938755,31959,2014,7528,Lexus
607288,612655,5988,2012,93333,Ford
292263,292264,32988,2017,10911,Nissan
1161588,1177710,25997,2015,27975,Toyota
257770,257771,35989,2015,23890,Mercedes-Benz
163737,163738,6991,2009,91429,BMW
51472,51473,14095,2014,92098,Ford
924971,930338,6797,2006,156066,Lexus
982807,988175,25980,2012,84561,Mercedes-Benz
971436,976804,6995,2003,83799,Mercedes-Benz
42918,42919,20989,2012,74859,Ford
15614,15615,14800,2002,82882,GMC
233493,233494,17987,2013,28250,Lexus
222339,222340,15230,2015,25926,Kia
65343,65344,12800,2016,30430,Ford
586098,591465,19999,2005,87089,Dodge
941529,946897,46998,2015,32942,Lexus
1002914,1008282,10999,2016,20071,Nissan
1109453,1124582,14595,2017,27137,Toyota
657393,662760,24995,2015,59500,Ford
489498,494865,23106,2013,43794,Chevrolet
433980,439347,36985,2017,15068,Cadillac
426299,431666,28000,2016,38578,Cadillac
89157,89158,18995,2015,33214,Chrysler
24795,24796,37864,2016,16638,Ford
1201963,1218751,21200,2015,29119,Volkswagen
158987,158988,27500,2014,44066,BMW
869923,875290,26988,2015,56062,Jeep
1070205,1075573,30999,2016,22996,Nissan
978606,983974,28995,2015,39164,Mercedes-Benz
1196595,1213383,12498,2014,72734,Volkswagen
639317,644684,17681,2013,68877,Ford
785111,790478,31995,2015,16820,Honda
58286,58287,17998,2016,32331,Ford
127844,127845,8200,2011,82779,Chevrolet
1120934,1136063,14000,2014,43221,Toyota
1169130,1185657,9495,2007,186427,Toyota
663761,669128,16522,2015,35268,Ford
1106452,1121581,26950,2013,46839,Subaru
1167395,1183871,12777,2005,141546,Toyota
747829,753196,9995,2012,90800,Honda
387642,393009,13395,2012,62928,Hyundai
911929,917296,24917,2017,11697,Kia
947596,952964,31900,2015,19293,Lincoln
724921,730288,19989,2010,113966,GMC
1069729,1075097,25352,2014,31440,Nissan
1122394,1137523,11965,2014,68123,Toyota
121657,121658,16698,2016,27252,Chevrolet
402118,407485,48000,2016,5378,Jaguar
403377,408744,9442,2011,82867,Jeep
483856,489223,6292,2010,145996,Chevrolet
1106861,1121990,31988,2016,22180,Subaru
502568,507935,31898,2014,9342,Chevrolet
401727,407094,19900,2011,26616,Jaguar
878404,883771,6995,2010,163966,Jeep
327809,331859,11888,2010,61277,Toyota
1003784,1009152,16976,2016,8110,Nissan
758247,763614,18995,2015,26675,Honda
679656,685023,20083,2015,33674,Ford
740324,745691,12500,2014,28865,Honda
612858,618225,17575,2016,47330,Ford
1158398,1174263,13950,2012,87107,Toyota
844093,849460,33632,2013,27693,Jaguar
582989,588356,17900,2012,64619,Dodge
683631,688998,37499,2017,15165,Ford
377768,383135,31399,2015,40681,Honda
405939,411306,15498,2015,10191,Jeep
637785,643152,22999,2017,45305,Ford
989505,994873,49997,2017,5492,Mercedes-Benz
747361,752728,15579,2015,46457,Honda
531632,536999,22995,2009,102993,Chevrolet
892184,897551,17200,2017,22072,Kia
12325,12326,34990,2014,48865,GMC
1020372,1025740,20990,2017,5068,Nissan
443218,448585,12466,2015,28706,Chevrolet
406577,411944,17415,2016,11346,Jeep
749284,754651,19801,2016,21318,Honda
249762,249763,21006,2016,4011,Mazda
124387,124388,14995,2014,43545,Chevrolet
522747,528114,40479,2016,28571,Chevrolet
147465,147466,17585,2016,20772,Buick
106309,106310,29800,2011,10676,Chevrolet
764101,769468,16497,2014,54181,Honda
439491,444858,17600,2017,20663,Chevrolet
246138,246139,18500,2016,6900,Mazda
484446,489813,16995,2015,25284,Chevrolet
342765,347976,30386,2015,53168,Toyota
873446,878813,31900,2015,27963,Jeep
569566,574933,13999,2014,48861,Dodge
524798,530165,36995,2017,1940,Chevrolet
1051407,1056775,12490,2005,96243,Nissan
765703,771070,20995,2014,47887,Honda
1062539,1067907,13988,2013,46965,Nissan
183013,183014,7995,2010,139781,Acura
684661,690028,4935,2004,62931,Ford
3264,3265,7969,2008,96537,Honda
1040248,1045616,22995,2016,36264,Nissan
760647,766014,22500,2016,17919,Honda
814893,820260,17888,2015,33612,Hyundai
902196,907563,16500,2017,16710,Kia
334176,338482,15995,2017,33605,Toyota
669916,675283,9991,2003,111229,Ford
903865,909232,12503,2013,75000,Kia
717771,723138,16500,2011,110467,GMC
137554,137555,35997,2016,14456,Cadillac
405885,411252,19000,2014,34901,Jeep
322282,326332,21891,2017,119,Toyota
724625,729992,34976,2017,22628,GMC
322854,326904,9995,2010,81810,Toyota
16310,16311,10426,2008,124426,GMC
1053753,1059121,21995,2015,40658,Nissan
992181,997549,4997,2009,106503,Mercury
1099254,1114383,17864,2014,36027,Subaru
869936,875303,26767,2014,54011,Jeep
496842,502209,20795,2015,94518,Chevrolet
982153,987521,34983,2015,30016,Mercedes-Benz
1128017,1143146,16797,2016,41077,Toyota
834133,839500,13477,2009,98524,INFINITI
997174,1002542,11364,2015,38854,Mitsubishi
942782,948150,26000,2016,25456,Lincoln
1119153,1134282,10061,2013,76362,Toyota
173206,173207,53490,2016,11798,Audi
878298,883665,28287,2015,54496,Jeep
843687,849054,22900,2007,78812,Jaguar
1069419,1074787,17795,2008,76311,Nissan
452349,457716,18858,2014,27572,Chevrolet
7468,7469,11999,2015,38456,Honda
35098,35099,26983,2013,22801,Ford
744496,749863,15495,2015,25388,Honda
697565,702932,14287,2004,122038,Ford
802460,807827,10999,2014,46232,Hyundai
493871,499238,16900,2008,90759,Chevrolet
482917,488284,3499,2006,178052,Chevrolet
458274,463641,17467,2015,55105,Chevrolet
70817,70818,21988,2005,100544,Dodge
489251,494618,26991,2016,20397,Chevrolet
26158,26159,38999,2016,33681,Ford
916754,922121,32892,2017,4303,Kia
1065271,1070639,35800,2016,6017,Nissan
165674,165675,8995,2004,86892,BMW
783356,788723,25592,2014,41082,Honda
1093445,1108574,21981,2016,342,Subaru
656982,662349,29493,2016,13508,Ford
912586,917953,26188,2017,31057,Kia
882817,888184,24883,2012,116346,Jeep
274628,274629,9995,2014,65794,Nissan
409857,415224,25995,2016,5494,Buick
601075,606442,12875,2014,42692,Ford
388857,394224,16500,2016,34229,Hyundai
83443,83444,22391,2017,1765,Dodge
1205577,1222366,13100,2016,37104,Volkswagen
656007,661374,24499,2014,51186,Ford
816512,821879,19400,2017,26410,Hyundai
55695,55696,15800,2013,64692,Ford
458227,463594,14495,2016,50006,Chevrolet
464097,469464,9700,2010,108218,Chevrolet
716925,722292,27000,2015,25125,GMC
1061639,1067007,28995,2015,13376,Nissan
698843,704210,42376,2015,44161,Ford
489568,494935,26198,2017,21807,Chevrolet
1058449,1063817,22980,2014,66803,Nissan
1006924,1012292,16988,2017,13103,Nissan
823937,829304,11988,2014,61003,Hyundai
915887,921254,17488,2015,40414,Kia
583590,588957,40980,2017,2924,Dodge
153881,153882,41900,2014,24821,BMW
306767,310817,10790,2012,110801,Subaru
357536,362902,4880,2008,137842,Volkswagen
1023768,1029136,18400,2015,31179,Nissan
614422,619789,9995,2012,52745,Ford
986981,992349,49990,2016,40492,Mercedes-Benz
460372,465739,12638,2013,91357,Chevrolet
327041,331091,17222,2014,24121,Toyota
171938,171939,9150,2006,75546,BMW
1132842,1147971,8995,2011,138330,Toyota
896579,901946,17995,2015,29565,Kia
278997,278998,3599,2009,143393,Nissan
647489,652856,16388,2011,90996,Ford
476122,481489,20288,2015,20823,Chevrolet
695553,700920,43988,2017,2293,Ford
920234,925601,53997,2014,23140,Land
565868,571235,13891,2015,57404,Dodge
559302,564669,18317,2016,40643,Dodge
430774,436141,19800,2011,40709,Cadillac
996720,1002088,8697,2009,62508,MINI
865385,870752,25254,2016,41665,Jeep
823700,829067,14284,2013,104530,Hyundai
152239,152240,44000,2014,40500,BMW
671162,676529,34988,2016,3487,Ford
628686,634053,2994,2002,104462,Ford
150707,150708,31881,2015,20033,BMW
1130080,1145209,16750,2014,35318,Toyota
1155973,1171646,5990,2002,122000,Toyota
479477,484844,19895,2012,24952,Chevrolet
298649,299391,25990,2016,34885,Ram
288548,288549,26485,2017,32484,Nissan
645818,651185,7900,2010,121125,Ford
862629,867996,13999,2011,94525,Jeep
1164479,1180808,23500,2012,53577,Toyota
267131,267132,14495,2015,29868,Nissan
541043,546410,12500,2016,42998,Chrysler
365987,371354,9794,2009,121254,Honda
1034679,1040047,10118,2016,37155,Nissan
227615,227616,20183,2017,38751,Kia
285691,285692,21988,2015,28026,Nissan
256797,256798,28750,2013,32449,Mercedes-Benz
434284,439651,53000,2015,38900,Cadillac
834009,839376,25995,2014,23406,INFINITI
4956,4957,13914,2014,30463,Honda
996950,1002318,9750,2009,45787,MINI
717671,723038,25995,2015,31400,GMC
919351,924718,33995,2013,61012,Land
3610,3611,10995,2011,34644,Honda
796687,802054,13500,2015,27587,Hyundai
504746,510113,13880,2016,43037,Chevrolet
123415,123416,9988,2010,102291,Chevrolet
320073,324123,15990,2014,19414,Toyota
186152,186153,26999,2014,28651,BMW
863501,868868,18994,2013,85811,Jeep
256049,256050,22999,2013,62619,Mercedes-Benz
735387,740754,44999,2015,59235,GMC
466011,471378,15100,2014,67616,Chevrolet
836561,841928,30991,2017,9000,INFINITI
1004334,1009702,16991,2017,97,Nissan
10213,10214,23000,2008,96533,GMC
927818,933185,9995,2006,155500,Lexus
1189633,1206421,15776,2017,13464,Volkswagen
1180884,1197551,34000,2014,55681,Toyota
960925,966293,14974,2016,45516,Mazda
904115,909482,2490,2004,125190,Kia
1108692,1123821,9900,2008,102870,Suzuki
222073,222074,21125,2016,2716,Kia
34462,34463,29905,2014,34840,Ford
1213844,1230637,31000,2017,26119,Volvo
904899,910266,8372,2010,63897,Kia
697429,702796,20940,2010,94700,Ford
897353,902720,15000,2015,35974,Kia
1095603,1110732,19000,2015,26066,Subaru
1144682,1159835,17695,2013,42878,Toyota
699224,704591,43999,2012,59264,Ford
518497,523864,33290,2014,54781,Chevrolet
434912,440279,59950,2015,19105,Cadillac
525795,531162,32990,2013,55000,Chevrolet
165438,165439,8921,2006,117319,BMW
268214,268215,12494,2016,33775,Nissan
935450,940817,32995,2014,38267,Lexus
620456,625823,19527,2015,18695,Ford
712126,717493,20995,2016,8184,GMC
823517,828884,14480,2012,54877,Hyundai
32611,32612,23995,2011,91476,Ford
612836,618203,7497,2012,73065,Ford
44031,44032,21395,2013,63575,Ford
696269,701636,34888,2015,52299,Ford
259484,259485,47888,2016,10949,Mercedes-Benz
842618,847985,7999,2008,93184,Isuzu
157317,157318,29900,2008,69262,BMW
995256,1000624,17990,2014,30872,MINI
41624,41625,22500,2013,58537,Ford
76826,76827,10771,2013,94088,Dodge
85922,85923,19755,2016,47208,Chrysler
1032264,1037632,20550,2016,46355,Nissan
926027,931394,26700,2015,34501,Lexus
258427,258428,5997,2003,165112,Mercedes-Benz
1176783,1193402,26500,2011,78514,Toyota
213048,213049,21550,2017,26052,Jeep
1008919,1014287,16250,2017,4716,Nissan
874828,880195,28292,2014,83699,Jeep
828191,833558,33977,2017,7889,Hyundai
91848,91849,50988,2015,9812,Chevrolet
1063404,1068772,16420,2009,86562,Nissan
909299,914666,11477,2011,95939,Kia
891466,896833,16500,2017,26221,Kia
1009067,1014435,10245,2014,32182,Nissan
1098057,1113186,12548,2011,78353,Subaru
460323,465690,12877,2016,13592,Chevrolet
114461,114462,5999,2006,160229,Chevrolet
235244,235245,30990,2015,33813,Lexus
580304,585671,25119,2016,3004,Dodge
526043,531410,22721,2013,75283,Chevrolet
440674,446041,16478,2017,13981,Chevrolet
48186,48187,17991,2013,60960,Ford
430276,435643,12999,2004,85740,Cadillac
286691,286692,17895,2015,17566,Nissan
973184,978552,15999,2010,72162,Mercedes-Benz
187072,187073,22991,2011,56718,BMW
1042505,1047873,11992,2012,93408,Nissan
433936,439303,45989,2014,51184,Cadillac
1214823,1231616,31888,2015,57652,Volvo
444637,450004,15311,2016,45088,Chevrolet
357073,362439,10265,2013,61551,Volkswagen
1169199,1185727,29895,2017,6649,Toyota
363645,369012,9500,2008,95622,Honda
1179445,1196092,37686,2015,21064,Toyota
1085955,1099820,27991,2017,308962,Ram
581552,586919,7800,2007,133099,Dodge
865523,870890,5101,2001,161507,Jeep
806280,811647,15991,2015,26921,Hyundai
676497,681864,10497,2012,88965,Ford
384621,389988,12999,2016,37951,Hyundai
563391,568758,25990,2016,12105,Dodge
692643,698010,38999,2016,31856,Ford
810579,815946,10499,2014,45015,Hyundai
326297,330347,20211,2016,5666,Toyota
1069572,1074940,9995,2007,142245,Nissan
271784,271785,16495,2015,18555,Nissan
1159505,1175442,6270,2006,105828,Toyota
652768,658135,2999,2003,141639,Ford
1097317,1112446,11488,2010,91293,Subaru
111482,111483,3995,2007,118910,Chevrolet
89548,89549,15245,2015,19952,Chrysler
743542,748909,16188,2016,18269,Honda
967641,973009,11988,2007,77088,Mercedes-Benz
170450,170451,20988,2013,47829,BMW
440363,445730,17600,2017,22350,Chevrolet
672446,677813,31995,2015,7526,Ford
603447,608814,16000,2014,30635,Ford
199088,199089,47995,2017,1382,Acura
717625,722992,4222,2004,178215,GMC
45479,45480,18499,2014,32342,Ford
336149,340776,8939,2003,102807,Toyota
991649,997017,8991,2008,45490,Mercury
750294,755661,13252,2013,26134,Honda
258025,258026,24995,2011,28480,Mercedes-Benz
327496,331546,8494,2011,99612,Toyota
221975,221976,12977,2016,18282,Kia
872859,878226,15988,2015,42746,Jeep
1015452,1020820,11900,2014,29145,Nissan
1087596,1102725,3990,2007,147631,Saab
633914,639281,22500,2017,26553,Ford
842876,848243,16492,2011,61408,Jaguar
80988,80989,14361,2015,29175,Dodge
45419,45420,19987,2012,77386,Ford
1204016,1220804,23000,2017,5604,Volkswagen
